"Agency","Subagency","accountID","Title","Obligation"
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",122,"International Conferences and Contingencies, House and Senate   Expenses",50000
"Department of Agriculture","Office of the Secretary",476,"Gifts and Bequests, Agriculture",558514.56
"Department of Agriculture","Executive Operations",267,"Expenses, Common Computing Environment, Agriculture",0
"Department of Agriculture","Executive Operations",408,"Working Capital Fund, Agriculture",961603825.26
"Department of Agriculture","Hazardous Materials Management",294,"Hazardous Materials Management, Agriculture",4584205.12
"Department of Agriculture","Buildings and Facilities",269,"Agriculture Buildings and Facilities, Agriculture",71257447.37
"Department of Agriculture","Office of Inspector General",440,"Inspector General Assets Forfeiture, Treasury",941332.65
"Department of Agriculture","Office of Inspector General",439,"Inspector General Assets Forfeiture, Justice",1050861.25
"Department of Agriculture","Office of Inspector General",300,"Office of Inspector General - Recovery Act, Agriculture",36.65
"Department of Agriculture","Economic Research Service",481,"Miscellaneous Contributed Funds, Economic Research Service, Agriculture",0
"Department of Agriculture","National Agricultural Statistics Service",479,"Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",61725.91
"Department of Agriculture","Agricultural Research Service",432,"Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture",21208.25
"Department of Agriculture","Agricultural Research Service",327,"Buildings and Facilities, Agricultural Research Service, Agriculture",147268942.34
"Department of Agriculture","Agricultural Research Service",478,"Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",25388969.48
"Department of Agriculture","National Institute of Food and Agriculture",304,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",403100.48
"Department of Agriculture","National Institute of Food and Agriculture",416,"Native American Institutions Endowment Fund, Agriculture",6394419.14
"Department of Agriculture","National Institute of Food and Agriculture",332,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",7363.47
"Department of Agriculture","Animal and Plant Health Inspection Service",411,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",242743140.37
"Department of Agriculture","Animal and Plant Health Inspection Service",335,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",1797866.36
"Department of Agriculture","Animal and Plant Health Inspection Service",480,"Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",10069884.02
"Department of Agriculture","Animal and Plant Health Inspection Service",485,"Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",870206.84
"Department of Agriculture","Food Safety and Inspection Service",474,"Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",26244081.5
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",394,"Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture",52701318.79
"Department of Agriculture","Agricultural Marketing Service",410,"Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture",11319049.86
"Department of Agriculture","Agricultural Marketing Service",420,"Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",795626755.84
"Department of Agriculture","Agricultural Marketing Service",468,"Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",164503638.64
"Department of Agriculture","Agricultural Marketing Service",473,"Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture",2094750
"Department of Agriculture","Risk Management Agency",395,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",8762978440.49
"Department of Agriculture","Farm Service Agency",375,"Reforestation Pilot Program, Farm Service Agency, Agriculture",600000
"Department of Agriculture","Farm Service Agency",321,"Discrimination Claims Settlement, Farm Service Agency, Agriculture",0
"Department of Agriculture","Farm Service Agency",378,"Emergency Conservation Program, Farm Service Agency, Agriculture",104311752.54
"Department of Agriculture","Farm Service Agency",288,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",5382341.33
"Department of Agriculture","Farm Service Agency",374,"Grassroots Source Water Protection Program, Farm Service Agency, Agriculture",6500000
