COC_Number,COC_Name,amount
AK-500,Anchorage CoC,3234396.26
AK-501,Alaska Balance of State CoC,1068270.24
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",11416117.38
AL-501,Mobile City & County/Baldwin County CoC,4339515.91
AL-502,Florence/Northwest Alabama CoC,753249
AL-503,Huntsville/North Alabama CoC,816078.75
AL-504,Montgomery City & County CoC,5256745.02
AL-505,Gadsden/Northeast Alabama CoC,350000
AL-506,Tuscaloosa City & County CoC,215964.3
AL-507,Alabama Balance of State CoC,81553
AR-500,Little Rock/Central Arkansas CoC,3405157.34
AR-501,Fayetteville/Northwest Arkansas CoC,276544.96
AR-503,Arkansas  Balance of State  CoC,496581
AR-505,Southeast Arkansas,649805.42
AR-508,Old Fort Homeless Coalition,124485
AZ-500,Arizona Balance of State CoC,3179976.5
AZ-501,Tucson/Pima County CoC,9458778.42
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,34904797.41
CA-500,San Jose/Santa Clara City & County CoC,21228560.49
CA-501,San Francisco CoC,35725342.43
CA-502,Oakland/Alameda County CoC,34633423.39
CA-503,Sacramento City & County CoC,19837509.09
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,3001567.51
CA-505,Richmond/Contra Costa County CoC,9886950.51
CA-506,"Salinas/Monterey, San Benito Counties CoC",3571035
CA-507,Marin County CoC,3443484.84
CA-508,Watsonville/Santa Cruz City & County CoC,1783390.29
CA-509,Mendocino County CoC,1507020
CA-510,Turlock/Modesto/Stanislaus County CoC,2253789.34
CA-511,Stockton/San Joaquin County CoC,5522459
CA-512,Daly/San Mateo County CoC,9709814.03
CA-513,"Visalia, Kings, Tulare Counties CoC",4683623.22
CA-514,Fresno/Madera County CoC,9614193.02
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",1187479.1
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",267387.46
CA-517,Napa City & County CoC,575105.35
CA-518,Vallejo/Solano County CoC,1796451
CA-519,Chico/Paradise/Butte County CoC,568408.9
CA-520,Merced City & County CoC,508102
CA-521,Davis/Woodland/Yolo County CoC,573995.82
CA-522,Humboldt County CoC,1943061.12
CA-524,Yuba City & County/Sutter County CoC,14980
CA-525,El Dorado County CoC,457836
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",410907.48
CA-529,Lake County CoC,350000
CA-530,"Alpine, Inyo, Mono Counties CoC",3091
CA-600,Los Angeles City & County CoC,121782401.9
CA-601,San Diego City and County CoC,28130704.92
CA-602,Santa Ana/Anaheim/Orange County CoC,20207338.43
CA-603,Santa Maria/Santa Barbara County CoC,1762706.92
CA-604,Bakersfield/Kern County CoC,6234595.37
CA-606,Long Beach CoC,13888776.92
CA-607,Pasadena CoC,2405369.88
CA-608,Riverside City & County CoC,12917662.14
CA-609,San Bernardino City & County CoC,10082759.84
CA-611,Oxnard/San Buenaventura/Ventura County CoC,1968291.16
CA-612,Glendale CoC,2820924.52
CA-613,Imperial County CoC,129600.5
CA-614,San Luis Obispo County CoC,747418.91
CO-500,Colorado Balance of State CoC,1471081
CO-503,Metropolitan Denver Homeless Initiative,34945333.19
CO-504,Colorado Springs/El Paso County CoC,2442180.15
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,7050005.22
CT-505,Connecticut Balance of State CoC,38426530.33
DC-500,District of Columbia CoC,26768798.14
DE-500,Delaware Statewide CoC,8635011
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",2290354
FL-501,Tampa/Hillsborough County CoC,8018610.6
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,11324461.63
FL-503,Lakeland/Winter Haven/Polk County CoC,1160447.25
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",1661203.99
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",574187
FL-506,Tallahassee/Leon County CoC,8312828
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",14925107.6
FL-508,"Gainesville/Alachua, Putnam Counties CoC",1578854.3
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1752215.53
FL-510,"Jacksonville-Duval, Clay Counties CoC",5660927.5
FL-511,Pensacola/Escambia/Santa Rosa County CoC,1672105
FL-512,Saint Johns County CoC,175345
FL-513,Palm Bay/Melbourne/Brevard County CoC,3131666.5
FL-514,Ocala/Marion County CoC,1361869
